id,Column_1
72991460675709,43657
729889250148458,214326
729884390210514,240892
729814560089217,721111
729781574079778,1424096
729776668513668,502455
72977169755754,412771
729765418402999,496695
729748588055241,492528
729738983271462,589433
729734127799209,615332
729708226779129,728306
729703380503313,448664
729698465274783,467304
729690913629222,402770
729666365837174,820447
729661346480023,708227
729655061820902,491699
729650191121619,1022758
729635660398767,1121753
729629975461347,631042
729624992068259,889673
729587425018182,846286
729579739673326,682543
729562869168452,717477
729550329494688,533289
729517064964594,629978
729511780819781,863408
729506073827451,583732
729484308063138,559095
729481485173249,816188
729475268768434,764625
729445275810138,1352550
